gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,16,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.89,869.9,1
Female,0,No,Yes,57,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),34.62,1947.74,1
Male,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,93.06,5342.47,1
Male,1,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),81.1,4561.75,0
Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),90.39,557.21,0
Female,0,No,No,38,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,62.46,2413.93,1
Male,1,Yes,No,57,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),91.58,5199.63,1
Male,0,Yes,No,55,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),64.57,3512.14,0
Male,1,No,Yes,14,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,71.27,978.32,0
Female,1,No,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,30.73,1289.74,1
Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),21.64,213.3,0
Male,1,No,No,7,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,92.5,654.13,0
Male,0,Yes,Yes,40,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,107.06,4277.94,1
Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),54.07,1832.41,0
Female,0,No,No,45,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),102.68,4612.45,0
Male,1,No,No,28,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,45.54,1240.3,0
Female,0,Yes,No,15,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,91.19,1405.34,1
Female,0,Yes,No,4,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),76.19,282.4,1
Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),21.36,46.23,0
Male,0,Yes,No,29,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),42.16,1238.52,0
Female,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,80.9,3939.73,0
Male,0,No,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,38.78,106.72,0
Female,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,76.99,940.24,0
Female,0,No,No,48,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.68,4213.88,1
Female,0,Yes,Yes,49,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,52.66,2530.57,1
Female,0,No,No,13,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),87.14,1151.04,1
Female,0,No,Yes,45,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,82.29,3698.37,0
Female,1,No,Yes,33,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),116.73,3882.53,0
Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,79.47,5529.33,0
Female,1,Yes,Yes,46,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),45.54,2095.91,0
Male,0,Yes,Yes,59,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),42.72,2482.08,1
Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),83.97,830.67,0
Female,0,Yes,Yes,49,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),28.35,1374.79,1
Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,40.64,135.74,1
Female,0,No,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.9,768.34,0
Male,0,No,No,58,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,69.14,3985.94,0
Female,0,No,No,59,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,96.56,5652.11,0
Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,69.07,4173.75,0
Male,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),46.56,1158.73,0
Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),101.79,3279.94,0
Male,0,Yes,Yes,18,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,66.47,1240.7,0
Male,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),86.97,4882.09,1
Female,1,No,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,116.65,1671.03,1
Female,0,No,Yes,40,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),99.37,4002.08,1
Female,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,103.05,6981.88,0
Female,0,Yes,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.07,1799.11,0
Female,0,No,No,21,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,72.06,1524.2,1
Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),117.7,4910.38,0
Female,0,No,No,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),50.37,1520.88,1
Female,0,No,No,12,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,22.18,252.83,0
Male,0,No,No,37,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Electronic check,21.41,800.74,0
Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),115.87,2902.42,1
Male,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,61.42,243.8,1
Female,1,Yes,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.49,2229.4,0
Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,69.39,229.21,1
Female,1,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),79.02,5483.56,0
Female,0,Yes,No,47,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.08,4976.54,1
Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,62.26,1059.94,0
Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.31,534.1,0
Male,0,No,No,65,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),44.02,2877.82,0
Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,72.85,3035.36,0
Male,0,No,Yes,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),96.16,4893.34,0
Male,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,62.27,585.37,0
Male,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,45.75,1123.85,0
Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),98.9,2004.66,1
Female,0,No,No,65,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,98.73,6391.84,0
Female,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),46.23,1834.72,0
Male,0,Yes,Yes,55,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),78.49,4347.56,0
Female,0,No,No,50,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),42.64,2128.92,0
Female,1,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,107.63,2067.98,1
Female,0,Yes,No,56,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.51,1458.68,0
Female,1,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),56.23,247.55,1
Male,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),83.01,1060.4,1
Female,0,No,Yes,23,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),104.02,2359.45,0
Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,97.54,6497.1,0
Female,0,Yes,No,51,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),86.41,4453.25,0
Female,1,No,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,110.61,5158.12,1
Female,0,No,No,46,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,20.43,933.87,1
Male,0,No,No,59,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),115.95,6801.21,1
Female,0,No,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),52.58,3815.24,1
Male,0,No,No,2,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),92.83,190.97,1
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),45.92,334.93,0
Male,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,59.47,1413.78,0
Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,105.6,351.64,0
Male,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,62.82,465.26,0
Male,0,No,Yes,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Electronic check,106.48,31.33,0
Female,0,Yes,Yes,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,72.9,2513.04,0
Male,0,No,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),44.41,515.69,1
Female,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,66.63,1117.82,0
Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,26.87,217.48,0
Female,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,65.81,1121.26,0
Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),96.77,2223.13,0
Female,0,No,No,0,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,24.89,8.37,0
Female,0,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,41.34,2926.94,1
Female,0,Yes,Yes,15,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,60.24,874.67,0
Female,0,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,93.78,1319.94,0
Female,0,Yes,No,61,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),93.11,5683.47,0
Female,0,Yes,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),106.73,467.76,0
Female,0,No,No,44,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,32.55,1445.72,0
Male,0,Yes,No,51,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),33.57,1739.02,1
Male,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,84.9,5935.72,1
Female,0,Yes,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,36.01,248.3,0
Female,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.38,1524.85,0
Female,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),71.94,911.07,1
Female,0,Yes,No,16,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,43.69,730.61,1
Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),87.16,3698.32,1
Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,103.8,1277.39,0
Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),19.22,1387.64,1
Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),46.93,195.72,1
Male,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,89.22,2904.87,0
Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,45.56,158.44,1
Male,0,Yes,Yes,25,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,70.3,1720.53,0
Female,0,No,Yes,67,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),93.65,6299.96,1
Female,0,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),52.37,755.5,0
Male,0,Yes,No,21,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),96.76,2075.45,0
Female,0,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,99.61,3462.72,0
Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),117.11,6671.44,0
Female,0,No,Yes,54,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,61.23,3337.7,1
Female,1,No,Yes,34,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,65.58,2276.14,1
Male,0,Yes,No,24,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.29,2276.67,0
Female,0,No,No,71,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,104.8,7397.7,0
Male,1,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,68.52,4140.21,0
Female,0,Yes,No,17,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),20.17,379.16,0
Male,1,No,Yes,57,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,63.8,3646.81,0
Male,0,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),40.52,2236.21,0
Female,1,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.67,1681.26,0
Female,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,51.92,567.18,0
Male,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,57.19,541.29,0
Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,116.17,1378.72,0
Female,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),63.52,2189.11,0
Female,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,114.76,2944.34,0
Male,0,No,Yes,66,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,91.24,6002.21,0
Male,0,Yes,Yes,44,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,43.31,1895.3,1
Male,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),88.2,5793.95,0
Male,0,No,No,21,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,58.27,1244.51,0
Male,0,Yes,Yes,41,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),75.93,3110.01,0
Male,1,Yes,No,19,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),69.93,1373.33,0
Male,0,No,No,47,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,111.18,5209.45,0
Male,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),30.97,569.04,1
Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),62.39,4311.74,0
Female,0,Yes,No,5,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,26.12,134.47,1
Male,0,Yes,No,38,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),43.47,1625.35,0
Female,0,Yes,No,10,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),25.68,301.58,0
Female,0,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),111.87,2666.71,1
Female,0,Yes,No,54,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,49.49,2677.12,0
Male,0,No,No,57,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),96.13,5523.35,0
Male,1,No,Yes,36,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,92.85,3377.66,0
Male,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.04,461.48,0
Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),32.11,2246.1,0
Female,0,No,No,72,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),55.79,4034.96,1
Male,0,Yes,No,36,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),74.86,2648.3,0
Male,0,Yes,Yes,52,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),60.67,3154.13,0
Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),94.8,1414.24,0
Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),71.59,1232.92,0
Male,0,No,Yes,18,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,106.18,1931.52,0
Female,0,No,Yes,43,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.24,3341.78,0
Male,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),77.24,73.23,0
Female,1,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,83.97,4831.02,0
Male,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,78.3,661.81,0
Female,0,No,No,45,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),79.21,3579.33,1
Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),62.97,1127.37,0
Male,1,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,27.05,974.1,1
Female,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),54.89,1939.71,0
Female,0,No,No,44,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,94.83,4168.77,0
Female,0,Yes,No,33,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,21.8,699.93,0
Male,0,Yes,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,87.06,58.98,0
Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,116.09,4945.5,0
