customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Female,0,Yes,No,32.0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),109.72,3476.24,Yes
CUST-00001,Female,0,No,No,5.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.16,141.88,Yes
CUST-00002,Female,1,No,Yes,68.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,94.73,6423.38,No
CUST-00003,Male,0,No,Yes,57.0,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),66.75,3835.58,No
CUST-00004,Female,0,No,Yes,31.0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),51.9,1649.84,No
CUST-00005,Male,1,No,No,37.0,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,39.22,1500.73,No
CUST-00006,Male,1,No,No,70.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,,2150.4,No
CUST-00007,Male,0,No,No,64.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),96.48,,No
CUST-00008,Female,0,No,No,64.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),71.08,4538.8,No
CUST-00009,Male,0,Yes,No,45.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,115.37,5233.9,No
CUST-00010,Female,0,No,No,32.0,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,56.05,1833.33,No
CUST-00011,Female,0,Yes,No,38.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),108.81,4147.56,Yes
CUST-00012,Male,0,No,No,28.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,78.9,2250.9,Yes
CUST-00013,Female,0,No,Yes,,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,94.38,1932.59,No
CUST-00014,Female,1,No,No,56.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,30.0,1694.94,Yes
CUST-00015,Female,0,Yes,Yes,21.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.11,2056.69,No
CUST-00016,Female,1,Yes,No,46.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,39.31,1842.48,No
CUST-00017,Male,0,No,Yes,36.0,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,34.22,1195.97,Yes
