customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Female,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),18.41,229.5,Yes
CUST-00001,Female,1,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),48.01,875.73,Yes
CUST-00002,Male,1,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,78.73,46.76,Yes
CUST-00003,Male,0,No,No,69,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),101.5,4958.37,Yes
CUST-00004,Female,1,No,No,63,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),121.84,3951.61,No
CUST-00005,Female,0,No,Yes,34,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,87.43,2928.1,No
CUST-00006,Male,0,No,Yes,70,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),40.43,2814.84,No
CUST-00007,Female,0,Yes,No,39,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),135.02,4521.41,No
CUST-00008,Male,0,Yes,No,43,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,120.81,3332.57,Yes
CUST-00009,Female,0,Yes,No,52,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,135.79,4544.16,No
CUST-00010,Female,0,Yes,No,48,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,111.32,5359.0,No
CUST-00011,Female,0,No,No,69,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,116.54,8002.55,No
CUST-00012,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,89.62,149.28,No
CUST-00013,Female,0,No,No,1,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),135.51,63.41,No
CUST-00014,Male,0,No,Yes,32,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,118.75,2521.65,No
CUST-00015,Female,0,No,Yes,17,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),77.21,507.19,Yes
