customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,16,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.89,869.9,Yes
CUST-00001,Female,0,No,Yes,57,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),34.62,1947.74,Yes
CUST-00002,Male,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,93.06,5342.47,Yes
CUST-00003,Male,1,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),81.1,4561.75,No
CUST-00004,Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),90.39,557.21,No
CUST-00005,Female,0,No,No,38,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,62.46,2413.93,Yes
CUST-00006,Male,1,Yes,No,57,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),91.58,5199.63,Yes
CUST-00007,Male,0,Yes,No,55,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),64.57,3512.14,No
CUST-00008,Male,1,No,Yes,14,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,71.27,978.32,No
CUST-00009,Female,1,No,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,30.73,1289.74,Yes
CUST-00010,Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),21.64,213.3,No
CUST-00011,Male,1,No,No,7,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,92.5,654.13,No
CUST-00012,Male,0,Yes,Yes,40,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,107.06,4277.94,Yes
CUST-00013,Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),54.07,1832.41,No
CUST-00014,Female,0,No,No,45,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),102.68,4612.45,No
CUST-00015,Male,1,No,No,28,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,45.54,1240.3,No
CUST-00016,Female,0,Yes,No,15,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,91.19,1405.34,Yes
CUST-00017,Female,0,Yes,No,4,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),76.19,282.4,Yes
CUST-00018,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),21.36,46.23,No
CUST-00019,Male,0,Yes,No,29,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),42.16,1238.52,No
CUST-00020,Female,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,80.9,3939.73,No
CUST-00021,Male,0,No,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,38.78,106.72,No
